,GameID,Team,TeamVegas,ClosingSpread,TeamFP,MIN,Pred
1752,21900877.0,Minnesota,113.0,8.0,254.75,239.98999999999998,241.30365922836685
1753,21900877.0,Orlando,121.0,-8.0,297.0,240.00000000000003,258.43781886952036
1754,21900878.0,Atlanta,117.25,2.0,291.5,239.99,249.69644923725699
1755,21900878.0,Brooklyn,119.25,-2.0,251.0,240.01,253.9799891475454
1756,21900879.0,Charlotte,100.25,13.5,245.0,239.98999999999998,219.67395070405973
1757,21900879.0,Toronto,113.75,-13.5,216.25,240.00999999999996,248.58784509850634
1758,21900880.0,Dallas,113.0,2.5,221.25,240.03000000000003,242.86507028940673
1759,21900880.0,Miami,115.5,-2.5,250.0,240.05,248.2194951772672
1760,21900881.0,Memphis,114.25,-2.0,240.5,240.01,246.1100685737151
1761,21900881.0,Sacramento,112.25,2.0,236.75,240.01000000000002,241.8265286634267
1762,21900882.0,Milwaukee,118.5,-10.0,301.5,239.98000000000002,255.0706444229834
1763,21900882.0,Oklahoma City,108.5,10.0,184.0,240.01,233.65294487154142
1764,21900883.0,Cleveland,111.25,12.5,217.5,239.98999999999998,237.27166888667543
1765,21900883.0,New Orleans,123.75,-12.5,283.75,239.98999999999998,264.04379332597784
1766,21900884.0,Detroit,104.5,9.0,237.75,240.00000000000003,227.6409013326663
1767,21900884.0,Phoenix,113.5,-9.0,246.5,240.0,246.916830928964
1768,21900885.0,Utah,121.0,-10.0,272.0,240.0,259.00560470989853
1769,21900885.0,Washington,111.0,10.0,249.25,240.00000000000003,237.58790515845658
1770,21900886.0,Denver,106.5,7.0,217.75,240.00999999999996,231.35665540257654
1771,21900886.0,LA Clippers,113.5,-7.0,278.0,239.98999999999998,246.34904508858588
1772,21900887.0,Chicago,105.0,2.5,237.75,240.00000000000003,230.27319737127826
1773,21900887.0,New York,107.5,-2.5,263.0,239.98999999999995,235.62762225913875
1774,21900888.0,Atlanta,121.5,-2.5,267.0,240.0,257.66339986586354
1775,21900888.0,Portland,119.0,2.5,229.0,240.0,252.30897497800308
1776,21900889.0,Brooklyn,106.0,7.5,238.0,239.99999999999997,230.42771688509896
1777,21900889.0,Miami,113.5,-7.5,238.75,240.0,246.49099154868043
1778,21900890.0,Cleveland,103.0,9.0,227.0,239.99999999999997,225.2799251605172
1779,21900890.0,Indiana,112.0,-9.0,248.0,239.98999999999998,244.55585475681494
1780,21900891.0,LA Lakers,119.75,-11.0,210.75,239.98999999999998,257.32201748663
1781,21900891.0,Memphis,108.75,11.0,245.75,240.01,233.76254798004388
1784,21900893.0,Orlando,110.25,4.0,250.75,240.00000000000003,238.11077459351645
1785,21900893.0,San Antonio,114.25,-4.0,242.25,240.0,246.67785441409322
1786,21900894.0,Golden State,104.75,11.0,260.75,240.00999999999996,227.46661152097965
1787,21900894.0,Phoenix,115.75,-11.0,216.5,239.99,251.0260810275658
1788,21900895.0,Charlotte,102.25,13.5,215.75,240.0,222.82191893359183
1789,21900895.0,Milwaukee,115.75,-13.5,236.75,240.01000000000002,251.73581332803846
1790,21900896.0,Dallas,124.0,-6.0,269.5,240.0,262.5919853734405
1791,21900896.0,Minnesota,118.0,6.0,227.75,240.0,249.74136564257526
1792,21900897.0,LA Clippers,116.5,-14.0,255.25,240.0,253.05824787420755
1793,21900897.0,Philadelphia,102.5,14.0,253.75,240.01,223.0734685021888
1794,21900898.0,Denver,111.25,-2.0,272.25,240.01999999999998,241.38811622941694
1795,21900898.0,Toronto,109.25,2.0,235.5,240.01000000000005,237.1045763191285
1796,21900899.0,Detroit,102.75,9.5,223.0,240.0,224.74448267173113
1797,21900899.0,Sacramento,112.25,-9.5,236.25,240.02,245.091297245601
1798,21900900.0,LA Lakers,117.0,2.0,250.5,240.01000000000002,249.30295320856547
1799,21900900.0,New Orleans,119.0,-2.0,246.5,239.98999999999998,253.5864931188539
1800,21900901.0,Golden State,113.0,7.0,255.5,240.00000000000003,241.58755214855591
1801,21900901.0,Washington,120.0,-7.0,249.0,239.97999999999993,256.57994183456526
1802,21900902.0,Cleveland,105.75,10.5,233.5,239.99,229.18254209584026
1803,21900902.0,Utah,116.25,-10.5,267.25,240.02,251.67112662485428
1804,21900903.0,Houston,120.0,-10.0,251.0,240.01,257.4316205951325
1805,21900903.0,New York,110.0,10.0,285.75,240.00000000000003,236.01392104369052
1806,21900904.0,Orlando,113.0,-6.5,219.25,240.01999999999995,245.42010657110833
1807,21900904.0,Portland,106.5,6.5,265.25,240.01000000000002,231.49860186267108
1808,21900905.0,Atlanta,121.0,-2.0,212.75,239.98999999999995,256.734461348386
1809,21900905.0,Memphis,119.0,2.0,301.0,240.01000000000002,252.4509214380976
1810,21900906.0,Miami,111.5,4.5,234.0,240.01000000000002,239.9363082768795
1811,21900906.0,Milwaukee,116.0,-4.5,205.5,240.0,249.57427307502837
1812,21900907.0,Chicago,106.75,6.5,233.5,239.99,231.8920978913626
1813,21900907.0,Dallas,113.25,-6.5,243.0,240.01000000000002,245.81360259979985
1814,21900908.0,Indiana,111.0,-2.0,241.5,240.01,240.99462020072542
1815,21900908.0,San Antonio,109.0,2.0,219.5,240.00000000000006,236.711080290437
1816,21900909.0,Charlotte,103.75,4.0,225.75,239.99000000000004,227.87987784753707
1817,21900909.0,San Antonio,107.75,-4.0,227.25,240.0,236.44695766811384
1820,21900911.0,Minnesota,118.5,10.5,279.0,240.0,249.2508395591075
1821,21900911.0,New Orleans,129.0,-10.5,289.0,239.98000000000002,271.7394240881215
1822,21900912.0,LA Clippers,116.25,-4.5,214.75,240.01999999999998,249.9677691037199
1823,21900912.0,Oklahoma City,111.75,4.5,210.75,240.01,240.329804305571
1824,21900913.0,Denver,117.25,-16.0,230.25,239.99999999999997,254.80652180066022
1825,21900913.0,Golden State,101.25,16.0,242.75,240.02,220.53820251835313
1826,21900914.0,Phoenix,110.75,4.0,243.25,239.99,238.89776665089948
1827,21900914.0,Toronto,114.75,-4.0,249.75,240.0,247.46484647147625
1828,21900915.0,LA Lakers,115.75,-13.0,254.25,240.01,251.59386686794394
1829,21900915.0,Philadelphia,102.75,13.0,233.0,240.01,223.75085745106938
1830,21900916.0,Sacramento,120.5,-5.5,264.0,240.01,256.9410945116647
1831,21900916.0,Washington,115.0,5.5,251.75,240.0,245.16135975837162
1832,21900917.0,Boston,110.0,-4.5,242.25,240.00999999999996,240.13036838643202
1833,21900917.0,Cleveland,105.5,4.5,233.0,240.00999999999996,230.49240358828314
1834,21900918.0,Detroit,100.25,8.5,236.0,240.01000000000002,221.09341530500507
1835,21900918.0,Oklahoma City,108.75,-8.5,246.75,240.0,239.29845992373072
1836,21900919.0,Miami,112.5,-6.5,250.5,240.01,244.6331145137253
1837,21900919.0,Orlando,106.0,6.5,233.25,240.0,230.71160980528805
1838,21900920.0,Brooklyn,111.75,-1.5,184.0,239.98999999999998,242.03316182670542
1839,21900920.0,Memphis,110.25,1.5,264.75,240.00999999999996,238.82050689398912
1840,21900921.0,New York,105.5,9.0,209.0,240.01000000000002,229.21488544743235
1841,21900921.0,Utah,114.5,-9.0,227.75,239.98,248.49081504373007
1842,21900922.0,Chicago,115.0,2.0,233.25,239.99,246.15498497903334
1843,21900922.0,Minnesota,117.0,-2.0,247.75,240.0,250.43852488932177
1846,21900924.0,Indiana,104.75,11.0,220.75,239.99999999999997,227.46661152097965
1847,21900924.0,Milwaukee,115.75,-11.0,268.5,240.00999999999996,251.0260810275658
1848,21900925.0,Portland,125.75,-7.5,269.75,239.98000000000002,265.77229695456464
1849,21900925.0,Washington,118.25,7.5,239.0,240.01,249.70902229098317
1850,21900926.0,Charlotte,98.5,9.5,221.5,240.01000000000002,218.0550501839754
1851,21900926.0,Denver,108.0,-9.5,239.0,240.01000000000005,238.40186475784523
1852,21900927.0,Houston,118.0,1.5,227.75,239.98999999999998,251.01888378342608
1853,21900927.0,LA Clippers,119.5,-1.5,259.75,240.01000000000002,254.23153871614235
1854,21900928.0,Philadelphia,106.75,5.5,251.75,240.01,232.17599081155166
1855,21900928.0,Sacramento,112.25,-5.5,224.75,240.01000000000002,243.95572556484473
1856,21900929.0,Golden State,110.0,9.0,259.5,240.01,236.2978139638796
1857,21900929.0,Toronto,119.0,-9.0,250.25,240.0,255.57374356017735
1858,21900930.0,Atlanta,117.25,5.5,235.0,240.04000000000002,248.70282401659526
1859,21900930.0,Washington,122.75,-5.5,243.0,240.00999999999996,260.4825587698883
1860,21900931.0,Brooklyn,114.25,-2.5,269.0,240.01000000000002,246.2520150338096
1861,21900931.0,San Antonio,111.75,2.5,229.0,240.0,240.89759014594915
1862,21900932.0,New York,105.5,5.5,223.5,240.01,230.20851066809408
1863,21900932.0,Oklahoma City,111.0,-5.5,248.5,240.02,241.98824542138715
1864,21900933.0,Boston,110.0,-1.5,213.75,240.00000000000003,239.2786896258648
1865,21900933.0,Utah,108.5,1.5,231.0,240.01,236.0660346931485
1866,21900934.0,Chicago,103.25,2.0,247.75,240.0,227.66067163053216
1867,21900934.0,Indiana,105.25,-2.0,250.0,240.0,231.9442115408206
1868,21900935.0,Minnesota,115.75,2.5,235.0,240.01,247.19352660501337
1869,21900935.0,Orlando,118.25,-2.5,263.25,240.0,252.54795149287386
1870,21900936.0,Miami,115.25,1.5,252.75,239.97,246.6904274678194
1871,21900936.0,New Orleans,116.75,-1.5,259.75,240.0,249.9030824005357
1872,21900937.0,Dallas,115.75,-7.0,280.0,240.01,249.89050934680952
1873,21900937.0,Memphis,108.75,7.0,234.25,240.01000000000002,234.89811966080015
1874,21900938.0,Phoenix,114.75,3.5,270.75,240.06999999999996,245.33564957005825
1875,21900938.0,Portland,118.25,-3.5,243.25,239.98,252.83184441306292
1876,21900939.0,LA Lakers,115.25,-2.0,247.5,240.0,247.68405268848116
1877,21900939.0,Milwaukee,113.25,2.0,225.75,240.0,243.40051277819276
1878,21900940.0,Charlotte,105.75,8.5,221.0,239.99,229.75032793621838
1879,21900940.0,Houston,114.25,-8.5,226.0,240.01000000000005,247.95537255494403
1880,21900941.0,Detroit,101.25,8.0,210.5,240.02000000000004,222.80934587986567
1881,21900941.0,Utah,109.25,-8.0,224.0,240.02,239.9435055210192
1882,21900942.0,Cleveland,104.75,9.5,237.25,240.01000000000002,227.89245090126326
1883,21900942.0,Denver,114.25,-9.5,230.25,239.99,248.2392654751331
1884,21900943.0,Atlanta,114.5,6.0,228.5,240.0,244.23242124089404
1885,21900943.0,Memphis,120.5,-6.0,275.0,240.00999999999996,257.08304097175926
1886,21900944.0,Golden State,107.75,4.0,226.75,239.97,234.1758143066013
